Ano;CNPJ;Empresa;Substância;Alíquota;Mês Ref;Mês Pagto;Total Operações;CFEM 100%;CFEM 60%;Possível Inconsistência
2025;33592510000154;VALE S.A.;FERRO;3.50%;9;10;465.947.049,47;16.323.216,26;9.793.929,76;
2024;33592510000154;VALE S.A.;FERRO;3.50%;3;5;132.214,43;4.637,22;2.782,33;
2025;33592510000154;VALE S.A.;FERRO;3.50%;10;11;477.395.392,51;16.728.968,32;10.037.380,99;
2024;33592510000154;VALE S.A.;FERRO;3.50%;4;5;674.683.828,61;23.697.557,96;14.218.534,78;
2025;33592510000154;VALE S.A.;FERRO;3.50%;11;12;450.126.557,40;15.781.274,68;9.468.764,81;
2024;33592510000154;VALE S.A.;FERRO;3.50%;5;6;535.159.455,69;18.776.780,73;11.266.068,44;
2025;33592510000154;VALE S.A.;FERRO;3.50%;12;1;423.453.070,21;14.838.069,92;8.902.841,95;
2024;33592510000154;VALE S.A.;FERRO;3.50%;5;7;71.105,25;2.505,88;1.503,53;
2024;33592510000154;VALE S.A.;FERRO;3.50%;6;7;652.295.664,56;22.877.001,22;13.726.200,73;
2024;33592510000154;VALE S.A.;FERRO;3.50%;7;8;496.477.381,74;17.381.914,96;10.429.148,98;
2024;33592510000154;VALE S.A.;FERRO;3.50%;8;9;544.397.420,26;19.058.482,57;11.435.089,54;
