Ano;CNPJ;Empresa;Substância;Alíquota;Mês Ref;Mês Pagto;Total Operações;CFEM 100%;CFEM 60%;Possível Inconsistência
2025;17617010000173;ANEX MINERAÇÃO S/A.;FILITO;1.00%;7;8;526.038,50;4.510,63;2.706,38;
2024;17617010000173;ANEX MINERAÇÃO S/A.;AREIA;2.00%;11;12;84.056,50;1.449,91;869,95;
2025;17617010000173;ANEX MINERAÇÃO S/A.;FILITO;1.00%;8;9;463.508,00;3.995,21;2.397,13;
2024;17617010000173;ANEX MINERAÇÃO S/A.;AREIA;2.00%;12;1;170.252,50;2.973,10;1.783,86;
2025;17617010000173;ANEX MINERAÇÃO S/A.;FILITO;1.00%;9;10;532.892,00;4.602,41;2.761,45;
2025;17617010000173;ANEX MINERAÇÃO S/A.;FILITO;1.00%;10;11;500.275,50;4.334,25;2.600,55;
2026;21705306000113;MSM-MINERAÇÃO SERRA DA MOEDA S.A.;FERRO;3.50%;1;2;14.869.633,40;501.441,20;300.864,72;
2025;17617010000173;ANEX MINERAÇÃO S/A.;FILITO;1.00%;11;12;438.110,00;3.775,34;2.265,20;
2026;21705306000113;MSM-MINERAÇÃO SERRA DA MOEDA S.A.;FERRO;3.50%;2;3;5.737.405,68;193.479,64;116.087,78;
2024;17617010000173;ANEX MINERAÇÃO S/A.;FILITO;1.00%;1;2;459.896,50;4.103,36;2.462,02;
2025;17617010000173;ANEX MINERAÇÃO S/A.;FILITO;1.00%;12;1;383.238,00;3.300,42;1.980,25;
2026;21705306000113;MSM-MINERAÇÃO SERRA DA MOEDA S.A.;FERRO;3.50%;3;4;6.572.688,91;218.635,67;131.181,40;
2024;17617010000173;ANEX MINERAÇÃO S/A.;FILITO;1.00%;2;3;325.762,50;2.816,55;1.689,93;
2026;21705306000113;MSM-MINERAÇÃO SERRA DA MOEDA S.A.;FERRO;3.50%;4;5;5.288.764,04;176.075,80;105.645,48;
2024;17617010000173;ANEX MINERAÇÃO S/A.;FILITO;1.00%;3;4;357.414,00;3.087,29;1.852,37;
2026;21705306000113;MSM-MINERAÇÃO SERRA DA MOEDA S.A.;FERRO;3.50%;5;6;2.463.760,47;82.810,29;49.686,17;
2024;17617010000173;ANEX MINERAÇÃO S/A.;FILITO;1.00%;4;5;433.984,50;3.731,66;2.239,00;
2025;17617010000173;ANEX MINERAÇÃO S/A.;FILITO;2.00%;1;2;27.311,71;467,61;280,57;
2024;17617010000173;ANEX MINERAÇÃO S/A.;FILITO;1.00%;5;6;394.122,50;3.375,19;2.025,11;
2025;17617010000173;ANEX MINERAÇÃO S/A.;FILITO;2.00%;2;3;14.032,67;239,35;143,61;
2024;17617010000173;ANEX MINERAÇÃO S/A.;FILITO;1.00%;6;7;388.902,50;3.419,71;2.051,83;
2025;17617010000173;ANEX MINERAÇÃO S/A.;FILITO;2.00%;3;4;33.667,43;581,93;349,16;
2024;17617010000173;ANEX MINERAÇÃO S/A.;FILITO;1.00%;7;8;480.845,70;4.173,95;2.504,37;
2025;17617010000173;ANEX MINERAÇÃO S/A.;FILITO;2.00%;4;5;41.179,15;707,95;424,77;
2026;21997929000107;MINERAÇÃO CONEMP LTDA;FERRO;3.50%;1;2;64.019.871,74;2.215.176,96;1.329.106,18;
2024;17617010000173;ANEX MINERAÇÃO S/A.;FILITO;1.00%;8;9;446.456,00;3.817,86;2.290,72;
2025;17617010000173;ANEX MINERAÇÃO S/A.;FILITO;2.00%;5;6;32.489,06;553,66;332,20;
2026;21997929000107;MINERAÇÃO CONEMP LTDA;FERRO;3.50%;2;3;62.940.639,28;2.190.939,89;1.314.563,93;
2024;17617010000173;ANEX MINERAÇÃO S/A.;FILITO;1.00%;9;10;478.974,50;4.098,10;2.458,86;
2025;17617010000173;ANEX MINERAÇÃO S/A.;FILITO;2.00%;6;7;24.309,65;415,85;249,51;
2026;21997929000107;MINERAÇÃO CONEMP LTDA;FERRO;3.50%;3;4;46.842.920,30;1.591.962,93;955.177,76;
2024;17617010000173;ANEX MINERAÇÃO S/A.;FILITO;1.00%;10;11;466.080,90;4.022,66;2.413,60;
2025;17617010000173;ANEX MINERAÇÃO S/A.;FILITO;2.00%;7;8;35.279,96;605,03;363,02;
2026;21997929000107;MINERAÇÃO CONEMP LTDA;FERRO;3.50%;4;5;75.804.436,80;2.595.715,11;1.557.429,07;
2024;17617010000173;ANEX MINERAÇÃO S/A.;FILITO;1.00%;11;12;385.032,30;3.320,76;1.992,46;
2025;17617010000173;ANEX MINERAÇÃO S/A.;FILITO;2.00%;8;9;28.356,18;488,83;293,30;
2026;21997929000107;MINERAÇÃO CONEMP LTDA;FERRO;3.50%;5;6;59.779.280,42;2.074.831,71;1.244.899,03;
2024;17617010000173;ANEX MINERAÇÃO S/A.;FILITO;1.00%;12;1;375.169,50;3.275,77;1.965,46;
2025;17617010000173;ANEX MINERAÇÃO S/A.;FILITO;2.00%;9;10;34.312,95;592,70;355,62;
2025;17617010000173;ANEX MINERAÇÃO S/A.;FILITO;2.00%;10;11;34.035,02;589,74;353,84;
2025;17617010000173;ANEX MINERAÇÃO S/A.;FILITO;2.00%;11;12;31.902,08;549,82;329,89;
2024;17617010000173;ANEX MINERAÇÃO S/A.;FILITO;2.00%;1;2;276.124,26;4.927,35;2.956,41;
2025;17617010000173;ANEX MINERAÇÃO S/A.;FILITO;2.00%;12;1;24.604,04;423,78;254,27;
2026;32960917000124;MINERAÇÃO ALTO PALMITAL S/A;MINÉRIO DE FERRO;3.50%;1;2;4.963.426,63;159.135,08;95.481,05;
2024;17617010000173;ANEX MINERAÇÃO S/A.;FILITO;2.00%;2;3;113.506,18;2.000,10;1.200,06;
2026;32960917000124;MINERAÇÃO ALTO PALMITAL S/A;MINÉRIO DE FERRO;3.50%;2;3;2.237.664,26;72.677,53;43.606,52;
2024;17617010000173;ANEX MINERAÇÃO S/A.;FILITO;2.00%;3;4;69.197,35;1.195,43;717,26;
2026;32960917000124;MINERAÇÃO ALTO PALMITAL S/A;MINÉRIO DE FERRO;3.50%;3;4;1.932.134,48;60.859,45;36.515,67;
2024;17617010000173;ANEX MINERAÇÃO S/A.;FILITO;2.00%;4;5;48.862,71;840,30;504,18;
2026;32960917000124;MINERAÇÃO ALTO PALMITAL S/A;MINÉRIO DE FERRO;3.50%;4;5;2.883.750,90;91.261,51;54.756,91;
2024;17617010000173;ANEX MINERAÇÃO S/A.;FILITO;2.00%;5;6;32.482,52;556,35;333,81;
2026;32960917000124;MINERAÇÃO ALTO PALMITAL S/A;MINÉRIO DE FERRO;3.50%;5;6;5.039.324,18;157.584,40;94.550,64;
2024;17617010000173;ANEX MINERAÇÃO S/A.;FILITO;2.00%;6;7;41.656,88;732,60;439,56;
2025;21705306000113;MSM-MINERAÇÃO SERRA DA MOEDA S.A.;FERRO;3.50%;1;2;16.959.527,97;577.905,24;346.743,14;
2024;17617010000173;ANEX MINERAÇÃO S/A.;FILITO;2.00%;7;8;37.052,83;643,27;385,96;
2025;21705306000113;MSM-MINERAÇÃO SERRA DA MOEDA S.A.;FERRO;3.50%;2;3;9.968.148,65;335.191,10;201.114,66;
2024;17617010000173;ANEX MINERAÇÃO S/A.;FILITO;2.00%;8;9;36.797,10;629,34;377,60;
2025;21705306000113;MSM-MINERAÇÃO SERRA DA MOEDA S.A.;FERRO;3.50%;3;4;3.263.621,46;110.057,47;66.034,48;
2024;17617010000173;ANEX MINERAÇÃO S/A.;FILITO;2.00%;9;10;22.662,59;387,80;232,68;
2025;21705306000113;MSM-MINERAÇÃO SERRA DA MOEDA S.A.;FERRO;3.50%;4;5;7.767.224,36;261.856,03;157.113,62;
2026;33592510000154;VALE S.A.;FERRO;3.50%;1;2;442.311.399,09;15.470.098,83;9.282.059,30;
2024;17617010000173;ANEX MINERAÇÃO S/A.;FILITO;2.00%;10;11;52.327,09;903,25;541,95;
2025;21705306000113;MSM-MINERAÇÃO SERRA DA MOEDA S.A.;FERRO;3.50%;5;6;7.354.669,83;248.017,85;148.810,71;
2026;33592510000154;VALE S.A.;FERRO;3.50%;2;3;280.702.776,18;9.854.494,05;5.912.696,43;
2024;17617010000173;ANEX MINERAÇÃO S/A.;FILITO;2.00%;11;12;20.757,34;358,05;214,83;
2025;21705306000113;MSM-MINERAÇÃO SERRA DA MOEDA S.A.;FERRO;3.50%;6;7;4.135.149,80;138.282,70;82.969,62;
2026;33592510000154;VALE S.A.;FERRO;3.50%;3;4;543.167.224,62;19.161.950,26;11.497.170,16;
2024;17617010000173;ANEX MINERAÇÃO S/A.;FILITO;2.00%;12;1;43.254,63;755,35;453,21;
2025;21705306000113;MSM-MINERAÇÃO SERRA DA MOEDA S.A.;FERRO;3.50%;7;8;14.159.531,17;476.867,52;286.120,51;
2026;33592510000154;VALE S.A.;FERRO;3.50%;4;5;483.178.066,28;17.001.504,57;10.200.902,74;
2025;21705306000113;MSM-MINERAÇÃO SERRA DA MOEDA S.A.;FERRO;3.50%;8;9;12.043.060,92;405.589,33;243.353,60;
2026;33592510000154;VALE S.A.;FERRO;3.50%;5;6;514.485.331,83;18.067.203,77;10.840.322,26;
2025;21705306000113;MSM-MINERAÇÃO SERRA DA MOEDA S.A.;FERRO;3.50%;9;10;23.643.261,71;797.198,59;478.319,15;
2025;21705306000113;MSM-MINERAÇÃO SERRA DA MOEDA S.A.;FERRO;3.50%;10;11;14.776.219,50;498.291,06;298.974,64;
2025;21705306000113;MSM-MINERAÇÃO SERRA DA MOEDA S.A.;FERRO;3.50%;11;12;7.443.770,23;251.022,54;150.613,52;
2024;21705306000113;MSM-MINERAÇÃO SERRA DA MOEDA S.A.;FERRO;3.50%;1;2;12.177.404,04;410.652,51;246.391,51;
2025;21705306000113;MSM-MINERAÇÃO SERRA DA MOEDA S.A.;FERRO;3.50%;12;1;10.703.125,44;360.936,13;216.561,68;
2026;41785833000192;HERCULANO MINERAÇÃO SA;MINÉRIO DE FERRO;3.50%;1;2;4.013.804,79;138.883,25;83.329,95;
2024;21705306000113;MSM-MINERAÇÃO SERRA DA MOEDA S.A.;FERRO;3.50%;2;3;10.275.786,39;346.525,21;207.915,13;
2026;41785833000192;HERCULANO MINERAÇÃO SA;MINÉRIO DE FERRO;3.50%;2;3;3.796.052,49;132.139,15;79.283,49;
2024;21705306000113;MSM-MINERAÇÃO SERRA DA MOEDA S.A.;FERRO;3.50%;3;4;4.220.247,26;142.317,29;85.390,37;
2026;41785833000192;HERCULANO MINERAÇÃO SA;MINÉRIO DE FERRO;3.50%;3;4;4.755.958,27;161.631,88;96.979,13;
2024;21705306000113;MSM-MINERAÇÃO SERRA DA MOEDA S.A.;FERRO;3.50%;4;5;3.269.401,87;109.948,21;65.968,93;
2026;41785833000192;HERCULANO MINERAÇÃO SA;MINÉRIO DE FERRO;3.50%;4;5;6.670.257,58;228.404,68;137.042,81;
2024;21705306000113;MSM-MINERAÇÃO SERRA DA MOEDA S.A.;FERRO;3.50%;5;6;1.755.759,68;58.898,95;35.339,37;
2025;21997929000107;MINERAÇÃO CONEMP LTDA;FERRO;3.50%;1;2;118.188.364,53;4.081.994,49;2.449.196,69;
2026;41785833000192;HERCULANO MINERAÇÃO SA;MINÉRIO DE FERRO;3.50%;5;6;7.290.812,33;253.051,03;151.830,62;
2024;21705306000113;MSM-MINERAÇÃO SERRA DA MOEDA S.A.;FERRO;3.50%;6;7;1.476.500,43;49.731,37;29.838,82;
2025;21997929000107;MINERAÇÃO CONEMP LTDA;FERRO;3.50%;2;3;98.500.291,09;3.386.232,43;2.031.739,46;
2024;21705306000113;MSM-MINERAÇÃO SERRA DA MOEDA S.A.;FERRO;3.50%;7;8;7.055.036,05;237.816,96;142.690,18;
2025;21997929000107;MINERAÇÃO CONEMP LTDA;FERRO;3.50%;3;4;102.261.546,05;3.523.435,14;2.114.061,08;
2024;21705306000113;MSM-MINERAÇÃO SERRA DA MOEDA S.A.;FERRO;3.50%;8;9;2.718.785,68;90.238,96;54.143,38;
2025;21997929000107;MINERAÇÃO CONEMP LTDA;FERRO;3.50%;4;5;87.448.063,24;3.009.644,92;1.805.786,95;
2024;21705306000113;MSM-MINERAÇÃO SERRA DA MOEDA S.A.;FERRO;3.50%;9;10;580.328,33;19.261,65;11.556,99;
2025;21997929000107;MINERAÇÃO CONEMP LTDA;FERRO;3.50%;5;6;65.322.459,05;2.256.229,35;1.353.737,61;
2026;53639230000161;TOP BRITA LTDA;GNAISSE;1.00%;1;2;891.319,08;8.508,62;5.105,17;
2024;21705306000113;MSM-MINERAÇÃO SERRA DA MOEDA S.A.;FERRO;3.50%;10;11;11.044.270,68;372.440,42;223.464,25;
2025;21997929000107;MINERAÇÃO CONEMP LTDA;FERRO;3.50%;6;7;55.551.055,11;1.897.333,67;1.138.400,20;
2026;53639230000161;TOP BRITA LTDA;GNAISSE;1.00%;2;3;754.316,60;7.261,81;4.357,09;
2024;21705306000113;MSM-MINERAÇÃO SERRA DA MOEDA S.A.;FERRO;3.50%;11;12;6.505.516,02;219.382,26;131.629,36;
2025;21997929000107;MINERAÇÃO CONEMP LTDA;FERRO;3.50%;7;8;64.008.972,45;2.207.411,96;1.324.447,18;
2026;53639230000161;TOP BRITA LTDA;GNAISSE;1.00%;3;4;1.780.910,57;17.155,78;10.293,47;
2024;21705306000113;MSM-MINERAÇÃO SERRA DA MOEDA S.A.;FERRO;3.50%;12;1;14.738.873,33;494.713,55;296.828,13;
2025;21997929000107;MINERAÇÃO CONEMP LTDA;FERRO;3.50%;8;9;71.463.070,03;2.474.773,39;1.484.864,03;
2026;53639230000161;TOP BRITA LTDA;GNAISSE;1.00%;4;5;1.553.051,10;14.867,72;8.920,63;
2025;21997929000107;MINERAÇÃO CONEMP LTDA;FERRO;3.50%;9;10;99.835.045,26;3.469.150,78;2.081.490,47;
2026;53639230000161;TOP BRITA LTDA;GNAISSE;1.00%;5;6;1.549.260,13;14.891,59;8.934,95;
2025;21997929000107;MINERAÇÃO CONEMP LTDA;FERRO;3.50%;10;11;103.011.122,60;3.578.974,06;2.147.384,44;
2025;21997929000107;MINERAÇÃO CONEMP LTDA;FERRO;3.50%;11;12;67.953.329,41;2.359.845,86;1.415.907,52;
2024;21997929000107;MINERAÇÃO CONEMP LTDA;FERRO;3.50%;1;3;97.063.789,81;3.240.279,15;1.944.167,49;
2025;21997929000107;MINERAÇÃO CONEMP LTDA;FERRO;3.50%;12;1;48.742.837,78;1.678.484,48;1.007.090,69;
2024;21997929000107;MINERAÇÃO CONEMP LTDA;FERRO;3.50%;2;4;74.665.148,90;2.529.949,87;1.517.969,92;
2026;09325670000152;SAFM MINERAÇÃO LTDA;MINÉRIO DE FERRO;3.50%;1;2;30.042.313,76;1.051.480,98;630.888,59;
2024;21997929000107;MINERAÇÃO CONEMP LTDA;FERRO;3.50%;3;5;64.825.086,67;2.192.108,17;1.315.264,90;
2026;09325670000152;SAFM MINERAÇÃO LTDA;MINÉRIO DE FERRO;3.50%;2;3;12.775.333,24;449.104,06;269.462,44;
2024;21997929000107;MINERAÇÃO CONEMP LTDA;FERRO;3.50%;4;6;79.041.448,24;2.702.564,55;1.621.538,73;
2026;09325670000152;SAFM MINERAÇÃO LTDA;MINÉRIO DE FERRO;3.50%;3;4;20.097.163,99;709.661,01;425.796,61;
2024;21997929000107;MINERAÇÃO CONEMP LTDA;FERRO;3.50%;5;7;53.464.882,11;1.790.517,55;1.074.310,53;
2025;32960917000124;MINERAÇÃO ALTO PALMITAL S/A;MINÉRIO DE FERRO;3.50%;1;2;8.180.040,69;265.616,35;159.369,81;
2026;09325670000152;SAFM MINERAÇÃO LTDA;MINÉRIO DE FERRO;3.50%;4;5;26.407.178,23;924.251,24;554.550,74;
2024;21997929000107;MINERAÇÃO CONEMP LTDA;FERRO;3.50%;6;8;53.115.778,98;1.779.912,21;1.067.947,33;
2025;32960917000124;MINERAÇÃO ALTO PALMITAL S/A;MINÉRIO DE FERRO;3.50%;2;3;8.106.332,67;261.889,61;157.133,77;
2026;09325670000152;SAFM MINERAÇÃO LTDA;MINÉRIO DE FERRO;3.50%;5;6;24.264.489,97;849.257,15;509.554,29;
2024;21997929000107;MINERAÇÃO CONEMP LTDA;FERRO;3.50%;7;9;24.656.505,79;788.316,55;472.989,93;
2025;32960917000124;MINERAÇÃO ALTO PALMITAL S/A;MINÉRIO DE FERRO;3.50%;3;4;9.175.828,48;293.749,89;176.249,93;
2024;21997929000107;MINERAÇÃO CONEMP LTDA;FERRO;3.50%;8;10;71.377.837,49;2.493.308,72;1.495.985,23;
2025;32960917000124;MINERAÇÃO ALTO PALMITAL S/A;MINÉRIO DE FERRO;3.50%;4;5;7.750.744,02;272.252,64;163.351,58;
2024;21997929000107;MINERAÇÃO CONEMP LTDA;FERRO;3.50%;9;11;69.408.265,14;2.341.459,40;1.404.875,64;
2025;32960917000124;MINERAÇÃO ALTO PALMITAL S/A;MINÉRIO DE FERRO;3.50%;5;6;10.269.565,14;360.369,31;216.221,59;
2024;21997929000107;MINERAÇÃO CONEMP LTDA;FERRO;3.50%;10;12;117.511.135,69;4.060.396,96;2.436.238,18;
2025;32960917000124;MINERAÇÃO ALTO PALMITAL S/A;MINÉRIO DE FERRO;3.50%;6;7;11.350.363,01;398.573,67;239.144,20;
2026;00967184000163;MPC INDUSTRIA E COMERCIO LTDA;FILITO;2.00%;1;3;312.273,17;6.137,67;3.682,60;
2024;21997929000107;MINERAÇÃO CONEMP LTDA;FERRO;3.50%;11;1;79.684.787,79;2.743.409,46;1.646.045,68;
2025;32960917000124;MINERAÇÃO ALTO PALMITAL S/A;MINÉRIO DE FERRO;3.50%;7;8;11.450.085,99;360.741,10;216.444,66;
2026;00967184000163;MPC INDUSTRIA E COMERCIO LTDA;FILITO;2.00%;2;4;280.210,50;5.353,91;3.212,35;
2024;21997929000107;MINERAÇÃO CONEMP LTDA;FERRO;3.50%;12;1;104.210.333,72;3.593.331,07;2.155.998,64;
2025;32960917000124;MINERAÇÃO ALTO PALMITAL S/A;MINÉRIO DE FERRO;3.50%;8;9;10.338.743,74;323.901,01;194.340,61;
2026;00967184000163;MPC INDUSTRIA E COMERCIO LTDA;FILITO;2.00%;3;5;339.861,00;6.695,69;4.017,41;
2025;32960917000124;MINERAÇÃO ALTO PALMITAL S/A;MINÉRIO DE FERRO;3.50%;9;10;15.361.917,69;504.394,30;302.636,58;
2026;00967184000163;MPC INDUSTRIA E COMERCIO LTDA;FILITO;2.00%;4;6;379.200,00;7.428,63;4.457,18;
2025;32960917000124;MINERAÇÃO ALTO PALMITAL S/A;MINÉRIO DE FERRO;3.50%;10;11;11.362.712,45;368.912,92;221.347,75;
2025;32960917000124;MINERAÇÃO ALTO PALMITAL S/A;MINÉRIO DE FERRO;3.50%;11;12;10.108.653,04;316.567,01;189.940,21;
2024;32960917000124;MINERAÇÃO ALTO PALMITAL S/A;MINÉRIO DE FERRO;3.50%;5;6;10.351.084,43;332.924,68;199.754,81;
2025;32960917000124;MINERAÇÃO ALTO PALMITAL S/A;MINÉRIO DE FERRO;3.50%;12;1;5.932.198,97;188.438,48;113.063,09;
2024;32960917000124;MINERAÇÃO ALTO PALMITAL S/A;MINÉRIO DE FERRO;3.50%;6;7;10.592.946,89;345.557,00;207.334,20;
2024;32960917000124;MINERAÇÃO ALTO PALMITAL S/A;MINÉRIO DE FERRO;3.50%;7;8;16.375.413,22;536.597,44;321.958,46;
2024;32960917000124;MINERAÇÃO ALTO PALMITAL S/A;MINÉRIO DE FERRO;3.50%;8;9;14.206.670,08;456.244,84;273.746,90;
2024;32960917000124;MINERAÇÃO ALTO PALMITAL S/A;MINÉRIO DE FERRO;3.50%;9;10;9.971.910,30;317.320,88;190.392,53;
2025;33592510000154;VALE S.A.;FERRO;3.50%;1;2;531.724.128,27;18.822.963,44;11.293.778,06;
2024;32960917000124;MINERAÇÃO ALTO PALMITAL S/A;MINÉRIO DE FERRO;3.50%;10;11;8.341.791,79;269.473,07;161.683,84;
2025;33592510000154;VALE S.A.;FERRO;3.50%;2;3;449.126.897,90;15.803.610,51;9.482.166,31;
2024;32960917000124;MINERAÇÃO ALTO PALMITAL S/A;MINÉRIO DE FERRO;3.50%;11;12;11.338.229,02;366.369,17;219.821,50;
2025;33592510000154;VALE S.A.;FERRO;3.50%;3;4;407.258.501,20;14.299.844,59;8.579.906,75;
2024;32960917000124;MINERAÇÃO ALTO PALMITAL S/A;MINÉRIO DE FERRO;3.50%;12;1;11.893.397,06;392.210,55;235.326,33;
2025;33592510000154;VALE S.A.;FERRO;3.50%;4;5;444.542.761,00;15.599.744,46;9.359.846,68;
2025;33592510000154;VALE S.A.;FERRO;3.50%;5;6;546.043.964,91;19.145.917,30;11.487.550,38;
2025;33592510000154;VALE S.A.;FERRO;3.50%;6;7;565.395.383,49;19.839.416,77;11.903.650,06;
2025;33592510000154;VALE S.A.;FERRO;3.50%;7;6;3.829.400,34;143.447,96;86.068,78;SIM - verificar mês pagto
2024;33592510000154;VALE S.A.;FERRO;3.50%;1;2;651.375.923,54;22.962.775,57;13.777.665,34;
2025;33592510000154;VALE S.A.;FERRO;3.50%;7;8;434.901.937,94;15.206.577,06;9.123.946,24;
2024;33592510000154;VALE S.A.;FERRO;3.50%;2;3;670.476.166,53;23.537.962,82;14.122.777,69;
2025;33592510000154;VALE S.A.;FERRO;3.50%;8;9;358.570.577,88;12.592.106,99;7.555.264,19;
2024;33592510000154;VALE S.A.;FERRO;3.50%;3;4;630.777.513,13;22.106.925,69;13.264.155,41;
